linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
__copy_overflow	export	vendor/linux/mm/maccess.c	__copy_overflow	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__cpupid_match_pid	inline	vendor/linux/include/linux/mm.h	__cpupid_match_pid	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__dec_node_page_state	export	vendor/linux/mm/vmstat.c	__dec_node_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
__dec_zone_page_state	export	vendor/linux/mm/vmstat.c	__dec_zone_page_state	src/mm/vmstat.rs	pub	complete	complete	exact name exists in a complete parity file
__filemap_get_folio	inline	vendor/linux/include/linux/pagemap.h	__filemap_get_folio	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__filemap_get_folio_mpol	export	vendor/linux/mm/filemap.c	__filemap_get_folio_mpol	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__filemap_remove_folio	prototype	vendor/linux/include/linux/pagemap.h	__filemap_remove_folio	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__filemap_set_wb_err	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h	__filemap_set_wb_err	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_alloc_noprof	export	vendor/linux/mm/page_alloc.c	__folio_alloc_noprof	src/mm/page_alloc.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_batch_release	export	vendor/linux/mm/swap.c	__folio_batch_release	src/mm/swap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_cancel_dirty	export	vendor/linux/mm/page-writeback.c;vendor/linux/include/linux/pagemap.h	__folio_cancel_dirty	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_clear_lru_flags	inline	vendor/linux/include/linux/mm_inline.h	__folio_clear_lru_flags	src/mm/mm_inline.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_dup_file_rmap	inline	vendor/linux/include/linux/rmap.h	__folio_dup_file_rmap	src/mm/rmap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_large_mapcount_sanity_checks	inline	vendor/linux/include/linux/rmap.h	__folio_large_mapcount_sanity_checks	src/mm/rmap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_lock	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h	__folio_lock	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_lock_killable	export	vendor/linux/mm/filemap.c;vendor/linux/include/linux/pagemap.h	__folio_lock_killable	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_lock_or_retry	prototype	vendor/linux/include/linux/pagemap.h	__folio_lock_or_retry	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_mark_dirty	prototype	vendor/linux/include/linux/pagemap.h	__folio_mark_dirty	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__folio_mark_uptodate	inline	vendor/linux/include/linux/page-flags.h	__folio_mark_uptodate	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
