linux_symbol	kind	linux_source
__kmap_local_page_prot	export	vendor/linux/mm/highmem.c
__kmap_local_pfn_prot	export	vendor/linux/mm/highmem.c
__kmap_to_page	export	vendor/linux/mm/highmem.c
__kmem_cache_create_args	export	vendor/linux/mm/slab_common.c
__ksm_enter	prototype	vendor/linux/include/linux/ksm.h
__ksm_exit	prototype	vendor/linux/include/linux/ksm.h
__kvmalloc_node_noprof	export	vendor/linux/mm/slub.c
__list_lru_init	export	vendor/linux/mm/list_lru.c
__mem_cgroup_try_charge_swap	prototype	vendor/linux/include/linux/swap.h
__mem_cgroup_uncharge_swap	prototype	vendor/linux/include/linux/swap.h
__memcg_memory_event	export	vendor/linux/mm/memcontrol.c
__might_fault	export	vendor/linux/mm/memory.c
__mk_vma_flags	inline	vendor/linux/include/linux/mm.h
__mm_flags_get_bitmap	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_get_word	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_overwrite_word	inline	vendor/linux/include/linux/mm_types.h
__mm_flags_set_mask_bits_word	inline	vendor/linux/include/linux/mm_types.h
__mm_populate	prototype	vendor/linux/include/linux/mm.h
__mm_zero_struct_page	inline	vendor/linux/include/linux/mm.h
__mmap_lock_do_trace_acquire_returned	export	vendor/linux/mm/mmap_lock.c
__mmap_lock_do_trace_released	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h
__mmap_lock_do_trace_start_locking	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_acquire_returned	inline	vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_released	inline	vendor/linux/include/linux/mmap_lock.h
__mmap_lock_trace_start_locking	inline	vendor/linux/include/linux/mmap_lock.h
__mmu_notifier_arch_invalidate_secondary_tlbs	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_invalidate_range_end	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_invalidate_range_start	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_register	export	vendor/linux/mm/mmu_notifier.c;vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_release	prototype	vendor/linux/include/linux/mmu_notifier.h
__mmu_notifier_subscriptions_destroy	prototype	vendor/linux/include/linux/mmu_notifier.h
__mod_node_page_state	export	vendor/linux/mm/vmstat.c
__mod_zone_page_state	export	vendor/linux/mm/vmstat.c
__mpol_dup	prototype	vendor/linux/include/linux/mempolicy.h
__mpol_equal	prototype	vendor/linux/include/linux/mempolicy.h
__mpol_put	export	vendor/linux/mm/mempolicy.c;vendor/linux/include/linux/mempolicy.h
__msan_chain_origin	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_get_context_state	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_instrument_asm_store	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_memcpy	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_memmove	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_memset	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_metadata_ptr_for_load_n	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_metadata_ptr_for_store_n	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_poison_alloca	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_unpoison_alloca	export	vendor/linux/mm/kmsan/instrumentation.c
__msan_warning	export	vendor/linux/mm/kmsan/instrumentation.c
__node_distance	export	vendor/linux/mm/numa_memblks.c
__nr_to_section	inline	vendor/linux/include/linux/mmzone.h
__p4d_alloc	prototype	vendor/linux/include/linux/mm.h
__page_cache_alloc	inline	vendor/linux/include/linux/pagemap.h
__page_frag_alloc_align	export	vendor/linux/mm/page_frag_cache.c
__page_frag_cache_drain	export	vendor/linux/mm/page_frag_cache.c
__page_ref_freeze	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_mod	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_mod_and_return	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_mod_and_test	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_mod_unless	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_set	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_ref_unfreeze	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h
__page_table_check_pmd_clear	export	vendor/linux/mm/page_table_check.c
__page_table_check_pmds_set	export	vendor/linux/mm/page_table_check.c
__page_table_check_pte_clear	export	vendor/linux/mm/page_table_check.c
__page_table_check_ptes_set	export	vendor/linux/mm/page_table_check.c
__page_table_check_pud_clear	export	vendor/linux/mm/page_table_check.c
__page_table_check_puds_set	export	vendor/linux/mm/page_table_check.c
__pagetable_ctor	inline	vendor/linux/include/linux/mm.h
__pagetable_free	inline	vendor/linux/include/linux/mm.h
__per_cpu_offset	export	vendor/linux/mm/percpu.c
__pfn_to_section	inline	vendor/linux/include/linux/mmzone.h
__pmd_alloc	prototype	vendor/linux/include/linux/mm.h
__pmd_trans_huge_lock	prototype	vendor/linux/include/linux/huge_mm.h
__pte_alloc	prototype	vendor/linux/include/linux/mm.h
__pte_alloc_kernel	prototype	vendor/linux/include/linux/mm.h
__pte_offset_map	prototype	vendor/linux/include/linux/mm.h
__pud_alloc	prototype	vendor/linux/include/linux/mm.h
__pud_trans_huge_lock	prototype	vendor/linux/include/linux/huge_mm.h
__readahead_batch	inline	vendor/linux/include/linux/pagemap.h
__readahead_folio	inline	vendor/linux/include/linux/pagemap.h
__section_mem_map_addr	inline	vendor/linux/include/linux/mmzone.h
__set_page_guard	prototype	vendor/linux/include/linux/mm.h
__show_mem	prototype	vendor/linux/include/linux/mm.h
__split_huge_pmd	inline	vendor/linux/include/linux/huge_mm.h
__split_huge_pud	inline	vendor/linux/include/linux/huge_mm.h
__swap_count	prototype	vendor/linux/include/linux/swap.h
__totalhigh_pages	export	vendor/linux/mm/highmem.c
__unmap_hugepage_range	inline	vendor/linux/include/linux/hugetlb.h
__update_lru_size	inline	vendor/linux/include/linux/mm_inline.h
__vcalloc_noprof	export	vendor/linux/mm/util.c;vendor/linux/include/linux/vmalloc.h
__vm_enough_memory	prototype	vendor/linux/include/linux/mm.h
__vm_flags_mod	inline	vendor/linux/include/linux/mm.h
__vma_are_readers_excluded	inline	vendor/linux/include/linux/mmap_lock.h
__vma_atomic_valid_flag	inline	vendor/linux/include/linux/mm.h
__vma_exclude_readers_for_detach	prototype	vendor/linux/include/linux/mmap_lock.h
__vma_private_lock	prototype	vendor/linux/include/linux/hugetlb.h
__vma_raw_mm_seqnum	inline	vendor/linux/include/linux/mmap_lock.h
__vma_shareable_lock	inline	vendor/linux/include/linux/hugetlb.h
__vma_start_write	export	vendor/linux/mm/mmap_lock.c;vendor/linux/include/linux/mmap_lock.h
__vmalloc_array_noprof	export	vendor/linux/mm/util.c;vendor/linux/include/linux/vmalloc.h
__vmalloc_node_noprof	export	vendor/linux/mm/vmalloc.c
__vmalloc_node_range_noprof	prototype	vendor/linux/include/linux/vmalloc.h
__vmalloc_noprof	export	vendor/linux/mm/nommu.c;vendor/linux/mm/vmalloc.c;vendor/linux/include/linux/vmalloc.h
__vmemmap_can_optimize	inline	vendor/linux/include/linux/mm.h
__zero_page	export	vendor/linux/mm/mm_init.c
_compound_head	inline	vendor/linux/include/linux/page-flags.h
_debug_pagealloc_enabled	export	vendor/linux/mm/debug_page_alloc.c
_debug_pagealloc_enabled_early	export	vendor/linux/mm/debug_page_alloc.c
_mmu_notifier_range_init	inline	vendor/linux/include/linux/mmu_notifier.h
_numa_mem_	export	vendor/linux/mm/page_alloc.c
_page_poisoning_enabled	export	vendor/linux/mm/page_poison.c
_page_poisoning_enabled_early	export	vendor/linux/mm/page_poison.c
_totalram_pages	export	vendor/linux/mm/show_mem.c
absent_pages_in_range	prototype	vendor/linux/include/linux/mm.h
accept_memory	prototype	vendor/linux/include/linux/mm.h
access_process_vm	export	vendor/linux/mm/memory.c;vendor/linux/mm/nommu.c;vendor/linux/include/linux/mm.h
access_remote_vm	prototype	vendor/linux/include/linux/mm.h
account_locked_vm	export	vendor/linux/mm/util.c;vendor/linux/include/linux/mm.h
add_memory	export	vendor/linux/mm/memory_hotplug.c
add_memory_driver_managed	export	vendor/linux/mm/memory_hotplug.c
add_mm_counter	inline	vendor/linux/include/linux/mm.h
add_swap_extent	export	vendor/linux/mm/swapfile.c;vendor/linux/include/linux/swap.h
add_to_page_cache_lru	export	vendor/linux/mm/folio-compat.c
adjust_managed_page_count	export	vendor/linux/mm/page_alloc.c;vendor/linux/include/linux/mm.h
adjust_range_if_pmd_sharing_possible	inline	vendor/linux/include/linux/hugetlb.h
all_vm_events	export	vendor/linux/mm/vmstat.c
alloc_bootmem_huge_page	prototype	vendor/linux/include/linux/hugetlb.h
alloc_contig_frozen_pages_noprof	export	vendor/linux/mm/page_alloc.c
alloc_contig_frozen_range_noprof	export	vendor/linux/mm/page_alloc.c
alloc_contig_pages_noprof	export	vendor/linux/mm/page_alloc.c
alloc_contig_range_noprof	export	vendor/linux/mm/page_alloc.c
alloc_hugetlb_folio	inline	vendor/linux/include/linux/hugetlb.h
alloc_memory_type	export	vendor/linux/mm/memory-tiers.c
alloc_pages_bulk_noprof	export	vendor/linux/mm/page_alloc.c
alloc_pages_exact_noprof	export	vendor/linux/mm/page_alloc.c
alloc_pages_nolock_noprof	export	vendor/linux/mm/page_alloc.c
alloc_pages_noprof	export	vendor/linux/mm/mempolicy.c
anon_vma_init	prototype	vendor/linux/include/linux/rmap.h
anon_vma_interval_tree_verify	prototype	vendor/linux/include/linux/mm.h
anon_vma_name	inline	vendor/linux/include/linux/mm_types.h
anon_vma_name_alloc	inline	vendor/linux/include/linux/mm_types.h
anon_vma_name_eq	inline	vendor/linux/include/linux/mm_inline.h
anon_vma_name_free	prototype	vendor/linux/include/linux/mm_types.h
anon_vma_name_get	inline	vendor/linux/include/linux/mm_inline.h
anon_vma_name_put	inline	vendor/linux/include/linux/mm_inline.h
apply_policy_zone	prototype	vendor/linux/include/linux/mempolicy.h
apply_to_existing_page_range	prototype	vendor/linux/include/linux/mm.h
apply_to_page_range	export	vendor/linux/mm/memory.c;vendor/linux/include/linux/mm.h
arch_clear_hugetlb_flags	inline	vendor/linux/include/linux/hugetlb.h
arch_get_shadow_stack_status	prototype	vendor/linux/include/linux/mm.h
arch_has_huge_bootmem_alloc	inline	vendor/linux/include/linux/hugetlb.h
arch_hugetlb_cma_order	prototype	vendor/linux/include/linux/hugetlb.h
arch_hugetlb_migration_supported	inline	vendor/linux/include/linux/hugetlb.h
arch_hugetlb_valid_size	prototype	vendor/linux/include/linux/hugetlb.h
arch_is_platform_page	inline	vendor/linux/include/linux/mm.h
arch_lock_shadow_stack_status	prototype	vendor/linux/include/linux/mm.h
arch_make_folio_accessible	inline	vendor/linux/include/linux/mm.h
arch_make_huge_pte	inline	vendor/linux/include/linux/hugetlb.h
arch_memory_deny_write_exec_supported	inline	vendor/linux/include/linux/mman.h
arch_memory_failure	inline	vendor/linux/include/linux/mm.h
arch_mm_preinit	prototype	vendor/linux/include/linux/mm.h
arch_pgtable_dma_compat	inline	vendor/linux/include/linux/mmu_context.h
arch_pick_mmap_layout	export	vendor/linux/mm/util.c
arch_set_shadow_stack_status	prototype	vendor/linux/include/linux/mm.h
arch_slab_minalign	inline	vendor/linux/include/linux/slab.h
arch_validate_flags	inline	vendor/linux/include/linux/mman.h
arch_validate_prot	inline	vendor/linux/include/linux/mman.h
arch_vma_name	prototype	vendor/linux/include/linux/mm.h
arch_vmap_p4d_supported	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pgprot_tagged	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pmd_supported	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pte_range_map_size	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pte_range_unmap_size	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pte_supported_shift	inline	vendor/linux/include/linux/vmalloc.h
arch_vmap_pud_supported	inline	vendor/linux/include/linux/vmalloc.h
arch_zone_limits_init	prototype	vendor/linux/include/linux/mm.h
assert_fault_locked	inline	vendor/linux/include/linux/mm.h
attach_page_private	inline	vendor/linux/include/linux/pagemap.h
balance_dirty_pages_ratelimited	export	vendor/linux/mm/page-writeback.c
balance_dirty_pages_ratelimited_flags	export	vendor/linux/mm/page-writeback.c
balloon_page_alloc	export	vendor/linux/mm/balloon.c
balloon_page_dequeue	export	vendor/linux/mm/balloon.c
balloon_page_enqueue	export	vendor/linux/mm/balloon.c
balloon_page_list_dequeue	export	vendor/linux/mm/balloon.c
balloon_page_list_enqueue	export	vendor/linux/mm/balloon.c
bdi_alloc	export	vendor/linux/mm/backing-dev.c
bdi_dev_name	export	vendor/linux/mm/backing-dev.c
bdi_put	export	vendor/linux/mm/backing-dev.c
bdi_register	export	vendor/linux/mm/backing-dev.c
bdi_set_max_ratio	export	vendor/linux/mm/page-writeback.c
bdi_unregister	export	vendor/linux/mm/backing-dev.c
blocks_per_huge_page	inline	vendor/linux/include/linux/hugetlb.h
brk	syscall	vendor/linux/mm/mmap.c;vendor/linux/mm/nommu.c
buffer_migrate_folio	export	vendor/linux/mm/migrate.c
buffer_migrate_folio_norefs	export	vendor/linux/mm/migrate.c
build_all_zonelists	prototype	vendor/linux/include/linux/mmzone.h
cachestat	syscall	vendor/linux/mm/filemap.c
can_do_mlock	export	vendor/linux/mm/mlock.c;vendor/linux/include/linux/mm.h
change_huge_pud	inline	vendor/linux/include/linux/huge_mm.h
change_protection	prototype	vendor/linux/include/linux/mm.h
check_data_rlimit	inline	vendor/linux/include/linux/mm.h
check_highest_zone	inline	vendor/linux/include/linux/mempolicy.h
check_move_unevictable_folios	export	vendor/linux/mm/vmscan.c;vendor/linux/include/linux/swap.h
clean_record_shared_mapping_range	export	vendor/linux/mm/mapping_dirty_helpers.c
clear_compound_head	inline	vendor/linux/include/linux/page-flags.h
clear_node_memory_type	export	vendor/linux/mm/memory-tiers.c
clear_page_dirty_for_io	export	vendor/linux/mm/folio-compat.c;vendor/linux/include/linux/pagemap.h
clear_page_guard	inline	vendor/linux/include/linux/mm.h
