schema_version	record_key	task_id	attempt	pipeline_id	manifest	base_row	field	architecture	linux_path	record_kind	symbol_name	source_line	old_value	final_value	decision_status	source_citations	linux_sha	candidate_sha256	implementation_sha256	phase0_identity_sha256	queue_fingerprint	base_manifest_sha256
semantic-proposal-v1	SC1-8a2e0d6412a8ac5409fdc521c298cadfa26d39ec0ad1a0317354cc2a34ecf48e	S016005	1	P02	SYMBOLS.tsv	347412	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_16KB	23	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:23;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-1dd79ef9e6c7a59505f0f95720a5aa177631e363de8dfb63122e8379eedddde9	S016005	1	P02	SYMBOLS.tsv	347413	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_64KB	24	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:24;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-4dfb3faf9b88e90fa3bf2995f9c442372eb313561d2a46e4dfa5e97be0157c94	S016005	1	P02	SYMBOLS.tsv	347413	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_64KB	24	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:24;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-971b636931a139fd3a2104f696971511293d3c8d716feb35763bc5db83ff1aa5	S016005	1	P02	SYMBOLS.tsv	347414	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_512KB	25	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:25;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-18b57cc04954a42e7607daedb2ebb63bde9c8ccdc7a45b03e1ce1e608d890cc3	S016005	1	P02	SYMBOLS.tsv	347414	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_512KB	25	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:25;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-3669c7ea2e717eb6a11058d67622679fd4132e2e090e2462ec940ddb91356211	S016005	1	P02	SYMBOLS.tsv	347415	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_1MB	26	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:26;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-056908c95ee283556eeb230c6c2ecbeb85ada70204d201aa76154afedd824924	S016005	1	P02	SYMBOLS.tsv	347415	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_1MB	26	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:26;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-f8d3baa5327ebefef8e84e72fa36c4d5d593899f86d487f256ee546dad386761	S016005	1	P02	SYMBOLS.tsv	347416	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_2MB	27	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:27;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-3b3222e4d69c670820fe1bd58256c49604fabb867da1513c467d01e6a564086d	S016005	1	P02	SYMBOLS.tsv	347416	status	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_2MB	27	PENDING_REVIEW	COMPLETE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:27;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
semantic-proposal-v1	SC1-680fb9e840d8d573a4ffbbf6bf1668157a493a1960eed2bd71d70ef473e60439	S016005	1	P02	SYMBOLS.tsv	347417	selection_expression	aarch64	include/uapi/asm-generic/hugetlb_encode.h	operative_macro	HUGETLB_FLAG_ENCODE_8MB	28	PENDING_REVIEW	SOURCE_REVIEWED_VALUE	COMPLETE	vendor/linux/include/uapi/asm-generic/hugetlb_encode.h;vendor/linux/include/uapi/asm-generic/hugetlb_encode.h:28;rewrite/configs/aarch64/frozen.config;header_closure=rewrite/metadata/header_closure.tsv;selected=PENDING_REVIEW	425f94c2954b1fe80ebdbf9b29854e89750355df	52178471be0759b875076710f517708c8b8c4961c72a555e02f98b606c39e579	c29a5dbbeb57fe0d2cb18c6c5f51823c18877c80a52d2c710bdee48a99d0007e	0123af9e96b58af4e98b91a2de5608d36b63c67864b9041d3340587f3dbe40d2	cfa8dcf0d81c408de38d4202fe1ce9d9e5e301d1e67439c9530da94b1e64ee3f	7484d7b0dd80f45e18d726b04752827fe28555cc5c1af0e127948380e6688abf
